PeakID (cmd=annotatePeaks.pl DN1_more_accessible_peaks.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
42	chr3	64197739	64198380	+	0	NA	Intergenic	Intergenic	-60579	NM_001104592	100125586	Mm.469888	NM_001104592	ENSMUSG00000043897	Vmn2r2	-	vomeronasal 2, receptor 2	protein-coding
214	chr14	16721520	16721736	+	0	NA	intron (NM_001289760, intron 2 of 9)	RLTR45|LTR|ERVK	-146152	NM_011243	218772	Mm.259318	NM_011243	ENSMUSG00000017491	Rarb	A830025K23|Hap|Nr1b2	retinoic acid receptor, beta	protein-coding
34	chr2	149263284	149263473	+	0	NA	Intergenic	RLTR12D|LTR|ERVK	-141871	NM_021405	58214	Mm.117117	NM_021405	ENSMUSG00000033156	Cst10	DD72	cystatin 10 (chondrocytes)	protein-coding
212	chr13	117079491	117079679	+	0	NA	Intergenic	Intergenic	-50440	NR_046023	623312	Mm.131279	NR_046023	ENSMUSG00000114792	Gm6416	-	predicted gene 6416	ncRNA
136	chr9	76126370	76126542	+	0	NA	intron (NM_173731, intron 7 of 8)	intron (NM_173731, intron 7 of 8)	87201	NM_205844	404194	Mm.213862	NM_205844	ENSMUSG00000059383	Gfral	AY457637|Gral	GDNF family receptor alpha like	protein-coding
48	chr3	82175476	82175707	+	0	NA	Intergenic	Intergenic	-29645	NM_021896	60596	Mm.143831	NM_021896	ENSMUSG00000033910	Gucy1a1	1200016O07Rik|GCS-alpha-1|GCS-alpha-3|Gucy1a3|sGC-alpha1	guanylate cyclase 1, soluble, alpha 1	protein-coding
246	chr17	75615261	75615614	+	0	NA	Intergenic	Intergenic	-63491	NM_001357860	72722	Mm.24641	NM_133747	ENSMUSG00000002017	Fam98a	2810405J04Rik|AL024114	family with sequence similarity 98, member A	protein-coding
137	chr9	77683372	77683764	+	0	NA	Intergenic	Intergenic	46836	NM_172925	244923	Mm.138238	NM_172925	ENSMUSG00000044938	Klhl31	9830147P19Rik|D930047P17Rik|Kbtbd1	kelch-like 31	protein-coding
50	chr3	84720764	84720977	+	0	NA	Intergenic	L1MA4|LINE|L1	54678	NM_177260	320782	Mm.107370	NM_177260	ENSMUSG00000056498	Tmem154	9930117H01Rik	transmembrane protein 154	protein-coding
14	chr1	163339685	163340040	+	0	NA	Intergenic	Intergenic	-26212	NM_011127	18933	Mm.288642	NM_011127	ENSMUSG00000026586	Prrx1	A230024N07Rik|AA755424|AI385634|AI843499|K-2|Pmx|Pmx1|Prx1|mHox	paired related homeobox 1	protein-coding
41	chr3	60633113	60633290	+	0	NA	Intergenic	Intergenic	132022	NM_001310514	56758	Mm.255723	NM_020007	ENSMUSG00000027763	Mbnl1	Mbnl|mKIAA0428	muscleblind like splicing factor 1	protein-coding
112	chr7	49269931	49270159	+	0	NA	intron (NM_175272, intron 1 of 37)	intron (NM_175272, intron 1 of 37)	23856	NM_175272	78286	Mm.333881	NM_175272	ENSMUSG00000052512	Nav2	5330421F07Rik|AU067780|BQ960892|HELAD1|POMFIL2|RAINB1|RAINB2|Unc53H2|mKIAA3015	neuron navigator 2	protein-coding
202	chr13	83059815	83060193	+	0	NA	Intergenic	Intergenic	-361671	NR_039537	100628621		NR_039537	ENSMUSG00000106655	Mir3961	mmu-mir-3961	microRNA 3961	ncRNA
157	chr11	56761367	56761777	+	0	NA	Intergenic	B4A|SINE|B4	-250046	NM_008165	14799	Mm.4920	NM_008165	ENSMUSG00000020524	Gria1	2900051M01Rik|Glr-1|Glr1|GluA1|GluR-A|GluRA|Glur-1|Glur1|HIPA1|gluR-K1	glutamate receptor, ionotropic, AMPA1 (alpha 1)	protein-coding
118	chr7	116161452	116161655	+	0	NA	intron (NM_172743, intron 8 of 24)	intron (NM_172743, intron 8 of 24)	28051	NM_001305190	233765	Mm.3741	NM_172743	ENSMUSG00000045659	Plekha7	A430081P20Rik|AI414265	pleckstrin homology domain containing, family A member 7	protein-coding
45	chr3	76331409	76331709	+	0	NA	intron (NM_178673, intron 4 of 15)	intron (NM_178673, intron 4 of 15)	255976	NM_001253719	213262	Mm.379337	NM_178673	ENSMUSG00000034098	Fstl5	9130207J01Rik	follistatin-like 5	protein-coding
131	chr9	58220724	58220947	+	0	NA	promoter-TSS (NR_105806)	promoter-TSS (NR_105806)	-315	NR_105806	102466639		NR_105806	ENSMUSG00000098886	Mir6385	Gm28021|mmu-mir-6385	microRNA 6385	ncRNA
175	chr12	14086445	14087063	+	0	NA	Intergenic	Intergenic	65284	NM_029007	105005	Mm.227253	NM_029007	ENSMUSG00000020607	Lratd1	2310003N02Rik|4731402F03Rik|AW125753|Fam84a|Nse1	LRAT domain containing 1	protein-coding
61	chr4	3413842	3414029	+	0	NA	Intergenic	Intergenic	-123155	NR_037306	100499523		NR_037306	ENSMUSG00000094253	Mir3471-2	mmu-mir-3471-2	microRNA 3471-2	ncRNA
106	chr6	145830216	145830505	+	0	NA	Intergenic	Intergenic	35060	NM_024469	79362	Mm.154529	NM_024469	ENSMUSG00000030256	Bhlhe41	6430520M22Rik|Bhlhb2l|Bhlhb3|DEC2|Sharp1	basic helix-loop-helix family, member e41	protein-coding
250	chr17	89928411	89928830	+	0	NA	Intergenic	Intergenic	159748	NM_001346962	18189	Mm.478418	NM_020252	ENSMUSG00000024109	Nrxn1	1700062G21Rik|9330127H16Rik|A230068P09Rik|mKIAA0578	neurexin I	protein-coding
32	chr2	134271469	134271917	+	0	NA	Intergenic	ORR1E|LTR|ERVL-MaLR	282659	NM_010403	15112	Mm.26634	NM_010403	ENSMUSG00000027261	Hao1	GOX|Gox1|Hao-1	hydroxyacid oxidase 1, liver	protein-coding
178	chr12	58219027	58219585	+	0	NA	Intergenic	Intergenic	7502	NM_009216	20605	Mm.278336	NM_009216	ENSMUSG00000035431	Sstr1	SRIF-2|SS-1-R|SS1-R|SS1R|Smstr-1|Smstr1|sst1	somatostatin receptor 1	protein-coding
13	chr1	155575187	155575429	+	0	NA	intron (NM_028250, intron 3 of 7)	intron (NM_028250, intron 3 of 7)	17188	NM_001145781	72482	Mm.288249	NM_026683	ENSMUSG00000033701	Acbd6	0610010G04Rik|2610100E10Rik	acyl-Coenzyme A binding domain containing 6	protein-coding
192	chr12	98850741	98850999	+	0	NA	intron (NM_001081191, intron 17 of 43)	intron (NM_001081191, intron 17 of 43)	50614	NM_001081191	319670	Mm.390484	NM_001081191	ENSMUSG00000051166	Eml5	BC027154|C130068M19Rik	echinoderm microtubule associated protein like 5	protein-coding
100	chr6	97616750	97617080	+	0	NA	intron (NM_145148, intron 1 of 23)	CpG	742	NM_145148	232288	Mm.27789	NM_145148	ENSMUSG00000030064	Frmd4b	6030440G05Rik|C87375|GOBLIN|GRSP1|R74720	FERM domain containing 4B	protein-coding
234	chr16	87930488	87930819	+	0	NA	intron (NM_146072, intron 13 of 16)	intron (NM_146072, intron 13 of 16)	21382	NR_155304	105246151	Mm.449986	NR_155304		4930590A17Rik	-	RIKEN cDNA 4930590A17 gene	ncRNA
20	chr2	17065099	17065410	+	0	NA	Intergenic	IAPLTR3-int|LTR|ERVK	-51528	NR_040632	75069	Mm.50378	NR_040632		4930515L03Rik	-	RIKEN cDNA 4930515L03 gene	ncRNA
147	chr10	82900271	82900464	+	0	NA	Intergenic	MTD|LTR|ERVL-MaLR	33741	NM_025499	66341	Mm.443284	NM_025499	ENSMUSG00000109864	Eid3	1700027M21Rik|NS4EB	EP300 interacting inhibitor of differentiation 3	protein-coding
153	chr10	128004856	128005200	+	0	NA	intron (NM_001359377, intron 1 of 5)	intron (NM_001359377, intron 1 of 5)	2480	NM_013786	27400	Mm.26719	NM_013786	ENSMUSG00000025396	Hsd17b6	17betaHSD9|Hsd17b9|Rdh8	hydroxysteroid (17-beta) dehydrogenase 6	protein-coding
225	chr15	25830557	25831027	+	0	NA	Intergenic	Intergenic	-12506	NM_001034851	66270	Mm.25311	NM_025459	ENSMUSG00000022270	Retreg1	1810015C04Rik|AU015349|Fam134b|Retreg1d	reticulophagy regulator 1	protein-coding
194	chr12	114977636	114977995	+	0	NA	Intergenic	Intergenic	-464121	NR_106063	102465664		NR_106063	ENSMUSG00000098357	Mir7094-2	Gm27508|mmu-mir-7094-2	microRNA 7094-2	ncRNA
110	chr7	19301730	19302048	+	0	NA	TTS (NM_001347586)	TTS (NM_001347586)	8156	NM_001347586	14282	Mm.248335	NM_008036	ENSMUSG00000003545	Fosb	-	FBJ osteosarcoma oncogene B	protein-coding
96	chr6	64873231	64873479	+	0	NA	Intergenic	ID_B1|SINE|B4	144230	NM_007500	11921	Mm.57229	NM_007500	ENSMUSG00000073043	Atoh1	Hath1|MATH-1|Math1|bHLHa14	atonal bHLH transcription factor 1	protein-coding
232	chr16	40621020	40621451	+	0	NA	intron (NM_001361281, intron 1 of 8)	RLTR45|LTR|ERVK	636871	NM_001361282	268890	Mm.310524	NM_175548	ENSMUSG00000061080	Lsamp	5430428I19|AW046674|B130007O04Rik|D930023J12Rik|Gm29907|Lam|Lamp	limbic system-associated membrane protein	protein-coding
239	chr17	18968285	18969089	+	0	NA	Intergenic	IAPLTR3-int|LTR|ERVK	54365	NM_001104549	627367	Mm.384131	NM_001104549	ENSMUSG00000091491	Vmn2r97	EG627367|Vn2r97	vomeronasal 2, receptor 97	protein-coding
160	chr11	85526543	85526774	+	0	NA	intron (NM_138681, intron 16 of 25)	intron (NM_138681, intron 16 of 25)	173494	NM_138681	192197	Mm.209989	NM_138681	ENSMUSG00000059439	Bcas3	1500019F07Rik|2610028P08Rik|AU021018|BC028339|K20D4|rudhira	breast carcinoma amplified sequence 3	protein-coding
88	chr5	130931083	130931411	+	0	NA	intron (NM_145218, intron 6 of 10)	RMER12C|LTR|ERVK	376275	NM_145218	212996	Mm.299204	NM_145218	ENSMUSG00000034040	Galnt17	AA388321|E330012B09Rik|Galnt19|Gcap8|Wbscr17	polypeptide N-acetylgalactosaminyltransferase 17	protein-coding
164	chr11	94753456	94753721	+	0	NA	Intergenic	Intergenic	7594	NM_001105561	217122	Mm.24063	NM_183153		Gm11545	A430060F13Rik|C86086	predicted gene 11545	protein-coding
128	chr9	40997183	40997603	+	0	NA	intron (NM_001281954, intron 1 of 9)	intron (NM_001281954, intron 1 of 9)	7235	NM_019465	54698	Mm.42791	NM_019465	ENSMUSG00000032021	Crtam	-	cytotoxic and regulatory T cell molecule	protein-coding
4	chr1	54834029	54834327	+	0	NA	intron (NM_001081433, intron 1 of 27)	intron (NM_001081433, intron 1 of 27)	92209	NM_001081433	329154	Mm.397910	NM_001081433	ENSMUSG00000052331	Ankrd44	4930444A19Rik|A130096K20|E130014H08Rik|PP6-ARS-B	ankyrin repeat domain 44	protein-coding
237	chr17	18718321	18718536	+	0	NA	Intergenic	RLTR50A|LTR|ERVK	136701	NM_001104547	433070	Mm.215962	NM_001104547	ENSMUSG00000091679	Vmn2r96	EG433070	vomeronasal 2, receptor 96	protein-coding
249	chr17	89654338	89654671	+	0	NA	Intergenic	Intergenic	275263	NR_045952	100043904	Mm.396198	NR_045952	ENSMUSG00000117524	Gm4719	-	predicted gene 4719	ncRNA
124	chr8	111237431	111237971	+	0	NA	intron (NM_001368315, intron 1 of 25)	B4|SINE|B4	21509	NM_009149	20340	Mm.276271	NM_009149	ENSMUSG00000003316	Glg1	AI593353|AW537898|CFR|CFR-1|ESL-1|MG-160|MG160|Selel	golgi apparatus protein 1	protein-coding
63	chr4	11769040	11769353	+	0	NA	intron (NM_019753, intron 2 of 17)	intron (NM_019753, intron 2 of 17)	11039	NM_019753	12557	Mm.33402	NM_019753	ENSMUSG00000028217	Cdh17	HPT-1|HPT-1/LI	cadherin 17	protein-coding
172	chr11	114792217	114792408	+	0	NA	exon (NM_028055, exon 3 of 3)	exon (NM_028055, exon 3 of 3)	3580	NM_028055	72014	Mm.38347	NM_028055	ENSMUSG00000000202	Btbd17	1500005I02Rik|Tango10a	BTB (POZ) domain containing 17	protein-coding
185	chr12	79092638	79092814	+	0	NA	intron (NR_110486, intron 2 of 2)	L1MDa|LINE|L1	-3056	NM_029988	110417	Mm.268317	NM_029988	ENSMUSG00000021120	Pigh	2210416H01Rik|A930028P05Rik	phosphatidylinositol glycan anchor biosynthesis, class H	protein-coding
123	chr8	11921833	11922113	+	0	NA	Intergenic	Intergenic	81452	NM_029326	75528	Mm.440342	NM_029326	ENSMUSG00000031512	Tex29	1700018L24Rik	testis expressed 29	protein-coding
231	chr15	103787497	103787841	+	0	NA	intron (NM_009268, intron 2 of 5)	Lx8|LINE|L1	-32171	NR_126081	20771	Mm.30276	NM_009268	ENSMUSG00000060311	Mucl1	Spt-2|Spt2	mucin-like 1	protein-coding
180	chr12	59312775	59312973	+	0	NA	Intergenic	ORR1B2|LTR|ERVL-MaLR	-93391	NM_001033156	70611	Mm.311026	NM_001033156	ENSMUSG00000035329	Fbxo33	5730501N20Rik|AI642135	F-box protein 33	protein-coding
3	chr1	40427322	40427544	+	0	NA	Intergenic	Intergenic	-2137	NM_001294171	17082	Mm.289824	NM_010743	ENSMUSG00000026069	Il1rl1	DER4|Fit-1|Ly84|ST2L|St2|St2-rs1|T1|T1/ST2	interleukin 1 receptor-like 1	protein-coding
170	chr11	104448531	104448782	+	0	NA	intron (NM_001359634, intron 2 of 14)	B2_Mm1t|SINE|B2	-6365	NM_001081045	76719	Mm.136418	NM_001081045	ENSMUSG00000018412	Kansl1	1700081L11Rik|9430041J06Rik|mKIAA1267	KAT8 regulatory NSL complex subunit 1	protein-coding
82	chr5	98096696	98096934	+	0	NA	Intergenic	RMER1C|Other|Other	-65798	NM_133738	71914	Mm.24842	NM_133738	ENSMUSG00000029338	Antxr2	2310046B19Rik|AW561899|CMG-2|CMG2|cI-35	anthrax toxin receptor 2	protein-coding
111	chr7	34812256	34812600	+	0	NA	5' UTR (NM_175140, exon 1 of 4)	5' UTR (NM_175140, exon 1 of 4)	283	NM_175140	68947	Mm.29380	NM_175140	ENSMUSG00000060402	Chst8	1500011J21Rik|AI426009	carbohydrate sulfotransferase 8	protein-coding
177	chr12	57972658	57973179	+	0	NA	Intergenic	Intergenic	-238886	NM_009216	20605	Mm.278336	NM_009216	ENSMUSG00000035431	Sstr1	SRIF-2|SS-1-R|SS1-R|SS1R|Smstr-1|Smstr1|sst1	somatostatin receptor 1	protein-coding
24	chr2	32437830	32438092	+	0	NA	intron (NM_001164357, intron 1 of 9)	intron (NM_001164357, intron 1 of 9)	-6810	NM_001164358	227731	Mm.37395	NM_146118	ENSMUSG00000026819	Slc25a25	1110030N17Rik|MCSC|mKIAA1896	solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 25	protein-coding
