PeakID (cmd=annotatePeaks.pl DN1_less_accessible_peaks.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
526	chr4	119947642	119947822	+	0	NA	intron (NM_010657, intron 1 of 8)	intron (NM_010657, intron 1 of 8)	133054	NM_010657	16656	Mm.302758	NM_010657	ENSMUSG00000028634	Hivep3	2900056N03Rik|A130075N07|AI848000|E030045D18Rik|KBP-1|KBP1|Krc|Rc|Schnurri-3|Shn3|Zas3	human immunodeficiency virus type I enhancer binding protein 3	protein-coding
257	chr2	125506079	125506449	+	0	NA	intron (NM_007993, intron 1 of 65)	CpG	174	NM_007993	14118	Mm.271644	NM_007993	ENSMUSG00000027204	Fbn1	AI536462|B430209H23|Fib-1|Tsk	fibrillin 1	protein-coding
1528	chr13	111534270	111534508	+	0	NA	intron (NR_151444, intron 1 of 1)	intron (NR_151444, intron 1 of 1)	15520	NR_151444	102636218	Mm.343364	NR_151444	ENSMUSG00000085634	Gm15290	-	predicted gene 15290	ncRNA
1920	chr18	33959329	33959530	+	0	NA	intron (NM_013512, intron 2 of 23)	ID_B1|SINE|B4	47777	NM_013512	13824	Mm.3465	NM_013512	ENSMUSG00000024376	Epb41l4a	Epb4.1l4|Epb4.1l4a|NBL4	erythrocyte membrane protein band 4.1 like 4a	protein-coding
1984	chr19	32120792	32121041	+	0	NA	Intergenic	Intergenic	-17776	NM_018830	54447	Mm.491229	NM_018830	ENSMUSG00000024887	Asah2	AI585898	N-acylsphingosine amidohydrolase 2	protein-coding
1263	chr11	29807454	29807664	+	0	NA	intron (NM_146016, intron 17 of 41)	intron (NM_146016, intron 17 of 41)	18109	NM_176829	216622	Mm.443260	NM_176829	ENSMUSG00000078157	4931440F15Rik	Fem1ab	RIKEN cDNA 4931440F15 gene	protein-coding
1915	chr18	31441687	31441882	+	0	NA	intron (NM_009308, intron 2 of 3)	intron (NM_009308, intron 2 of 3)	5631	NM_009308	20983	Mm.233846	NM_009308	ENSMUSG00000024261	Syt4	SytIV	synaptotagmin IV	protein-coding
1594	chr14	71211708	71211991	+	0	NA	Intergenic	Intergenic	-39424	NR_046076	100043132	Mm.399336	NR_046075	ENSMUSG00000115139	Gm4251	-	predicted gene 4251	ncRNA
762	chr6	107530978	107531223	+	0	NA	intron (NM_008516, intron 1 of 1)	intron (NM_008516, intron 1 of 1)	1374	NM_008516	16979	Mm.428543	NM_008516	ENSMUSG00000034648	Lrrn1	2810047E21Rik|NLRR-1	leucine rich repeat protein 1, neuronal	protein-coding
541	chr4	131861121	131861291	+	0	NA	intron (NM_025297, intron 5 of 9)	MIRc|SINE|MIR	-12431	NM_001369309	57317	Mm.2478	NM_020587	ENSMUSG00000028911	Srsf4	5730499P16Rik|AW550192|MNCb-2616|SRp75|Sfrs4	serine/arginine-rich splicing factor 4	protein-coding
1523	chr13	107779664	107779863	+	0	NA	intron (NM_145456, intron 6 of 17)	intron (NM_145456, intron 6 of 17)	92366	NR_045900	72257	Mm.234155	NR_045900	ENSMUSG00000102000	1700006H21Rik	-	RIKEN cDNA 1700006H21 gene	ncRNA
1355	chr12	31973546	31973797	+	0	NA	intron (NM_001364408, intron 5 of 10)	intron (NM_001364408, intron 5 of 10)	-23426	NM_153198	73389	Mm.390461	NM_153198	ENSMUSG00000002996	Hbp1	1700058O05Rik|BE629963|C330012F01Rik|C86454	high mobility group box transcription factor 1	protein-coding
837	chr7	38163364	38163897	+	0	NA	Intergenic	Intergenic	-19587	NM_001085385	72244	Mm.187554	NM_028166		1600014C10Rik	AI428873	RIKEN cDNA 1600014C10 gene	protein-coding
854	chr7	64402047	64402273	+	0	NA	intron (NM_028626, intron 2 of 2)	intron (NM_028626, intron 2 of 2)	9538	NM_001355124	73724	Mm.10093	NM_028626	ENSMUSG00000033429	Mcee	1110007A04Rik	methylmalonyl CoA epimerase	protein-coding
1245	chr11	8556859	8557384	+	0	NA	intron (NM_001083587, intron 4 of 30)	intron (NM_001083587, intron 4 of 30)	107414	NM_001083587	319939	Mm.337820	NM_001083587	ENSMUSG00000020422	Tns3	BC023928|F830010I22Rik|TEM6|Tens1	tensin 3	protein-coding
724	chr6	59024348	59024646	+	0	NA	promoter-TSS (NM_153574)	promoter-TSS (NM_153574)	5	NM_153574	58909	Mm.28813	NM_153574	ENSMUSG00000037709	Fam13a	AI462012|D430015B01Rik|FAM13A1|Precm1	family with sequence similarity 13, member A	protein-coding
1165	chr10	59958742	59958909	+	0	NA	Intergenic	Intergenic	-7055	NM_029083	74747	Mm.21697	NM_029083	ENSMUSG00000020108	Ddit4	5830413E08Rik|AA415483|REDD1|Rtp801|dig2	DNA-damage-inducible transcript 4	protein-coding
577	chr5	17556125	17556463	+	0	NA	Intergenic	Intergenic	-18522	NM_013657	20348	Mm.5071	NM_013657	ENSMUSG00000028780	Sema3c	1110036B02Rik|SemE|Semae	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	protein-coding
1796	chr17	26602083	26602280	+	0	NA	intron (NM_026170, intron 1 of 9)	(AGGGGG)n|Simple_repeat|Simple_repeat	40669	NM_026170	67458	Mm.30496	NM_026170	ENSMUSG00000001576	Ergic1	1200007D18Rik|maa-136	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1	protein-coding
720	chr6	55294830	55295065	+	0	NA	intron (NM_001142781, intron 13 of 17)	intron (NM_001142781, intron 13 of 17)	-41352	NM_007472	11826	Mm.18625	NM_007472	ENSMUSG00000004655	Aqp1	CHIP28	aquaporin 1	protein-coding
665	chr5	138853450	138853783	+	0	NA	Intergenic	Intergenic	33536	NM_001195128	384244	Mm.485002	NM_001195128	ENSMUSG00000094504	Gm5294	EG384244	predicted gene 5294	protein-coding
1498	chr13	74044645	74045049	+	0	NA	intron (NM_028959, intron 9 of 11)	intron (NM_028959, intron 9 of 11)	17438	NM_028959	74470	Mm.73234	NM_028959	ENSMUSG00000021572	Cep72	2610029E11Rik|4933440J22Rik	centrosomal protein 72	protein-coding
19	chr1	34537141	34537344	+	0	NA	exon (NM_007685, exon 4 of 6)	exon (NM_007685, exon 4 of 6)	1594	NR_153806	12627	Mm.2531	NM_007685	ENSMUSG00000026124	Cfc1	AV265756|b2b970Clo|cryptic	cripto, FRL-1, cryptic family 1	protein-coding
975	chr8	67639512	67639753	+	0	NA	Intergenic	Intergenic	115778	NM_008674	17962	Mm.57193	NM_008674	ENSMUSG00000056426	Nat3	-	N-acetyltransferase 3	protein-coding
925	chr7	144838069	144838248	+	0	NA	promoter-TSS (NM_008007)	promoter-TSS (NM_008007)	-454	NM_008007	14174	Mm.4947	NM_008007	ENSMUSG00000031074	Fgf3	Fgf-3|Int-2|Int-P	fibroblast growth factor 3	protein-coding
418	chr3	143873932	143874128	+	0	NA	Intergenic	Lx5|LINE|L1	-161887	NR_040405	621809	Mm.360134	NR_040405	ENSMUSG00000105279	Gm6260	EG621809	predicted gene 6260	ncRNA
1581	chr14	60378600	60378809	+	0	NA	exon (NM_001164705, exon 1 of 2)	exon (NM_001164705, exon 1 of 2)	1012	NM_001368677	72125	Mm.275499	NM_028113	ENSMUSG00000021986	Amer2	2600011E07Rik|Fam123a	APC membrane recruitment 2	protein-coding
929	chr8	6105585	6105795	+	0	NA	Intergenic	Lx4A|LINE|L1	-1000403	NM_011388	20494	Mm.3500	NM_011388	ENSMUSG00000023073	Slc10a2	9130221J18Rik|AI605518|ASBT|IBAT|ISBT	solute carrier family 10, member 2	protein-coding
1335	chr12	3441415	3441889	+	0	NA	intron (NM_001270988, intron 1 of 11)	L1MD2|LINE|L1	14795	NM_172421	75302	Mm.120475	NM_172421	ENSMUSG00000037486	Asxl2	4930556B16Rik|mKIAA1685	additional sex combs like 2, transcriptional regulator	protein-coding
1742	chr16	70479992	70480380	+	0	NA	intron (NM_028803, intron 8 of 15)	(CAGGC)n|Simple_repeat|Simple_repeat	-136239	NR_040474	52645	Mm.188475	NR_040474	ENSMUSG00000116792	D16Ertd519e	-	DNA segment, Chr 16, ERATO Doi 519, expressed	ncRNA
601	chr5	53351561	53351724	+	0	NA	Intergenic	Intergenic	84536	NM_001145433	66278	Mm.27900	NM_001145433	ENSMUSG00000061461	Smim20	1110067B18Rik|1810013D10Rik|N28078	small integral membrane protein 20	protein-coding
563	chr5	8722506	8722846	+	0	NA	intron (NM_011076, intron 21 of 29)	intron (NM_011076, intron 21 of 29)	-75471	NM_011075	18669	Mm.146649	NM_011075	ENSMUSG00000028970	Abcb1b	Abcb1|Mdr1|Mdr1b|Pgy-1|Pgy1|mdr	ATP-binding cassette, sub-family B (MDR/TAP), member 1B	protein-coding
253	chr2	122429782	122430128	+	0	NA	Intergenic	Intergenic	-10865	NM_001356532	269346	Mm.29510	NM_172980	ENSMUSG00000027219	Slc28a2	2010208B10Rik|B430217P18|BB152493|Cnt2|SPNT	solute carrier family 28 (sodium-coupled nucleoside transporter), member 2	protein-coding
222	chr2	84963861	84964283	+	0	NA	Intergenic	Intergenic	-16389	NM_008920	19074	Mm.142727	NM_008920	ENSMUSG00000027073	Prg2	EMBP|MBP|mMBP|mMBP-1	proteoglycan 2, bone marrow	protein-coding
1231	chr10	125361084	125361611	+	0	NA	Intergenic	Intergenic	-32384	NM_001358496	20503	Mm.29161	NM_011391	ENSMUSG00000020102	Slc16a7	4921534N07Rik|9030411M13Rik|D630004K10Rik|Mct2	solute carrier family 16 (monocarboxylic acid transporters), member 7	protein-coding
300	chr2	160603259	160603430	+	0	NA	Intergenic	Intergenic	-42553	NM_009408	21969	Mm.217233	NM_009408	ENSMUSG00000070544	Top1	AI467334|D130064I21Rik|Top-1	topoisomerase (DNA) I	protein-coding
1979	chr19	24485328	24485684	+	0	NA	intron (NM_008846, intron 1 of 14)	URR1A|DNA|hAT-Charlie	-8032	NM_026520	68034	Mm.440181	NM_026520	ENSMUSG00000074922	Fam122a	2410124L17Rik|2900009I07Rik|Gm9849	family with sequence similarity 122, member A	protein-coding
935	chr8	10798563	10798762	+	0	NA	Intergenic	Intergenic	83792	NR_040705	320014	Mm.403203	NR_040705	ENSMUSG00000109473	B930025P03Rik	-	RIKEN cDNA B930025P03 gene	ncRNA
782	chr6	125340436	125340667	+	0	NA	intron (NM_011324, intron 7 of 11)	intron (NM_011324, intron 7 of 11)	-9172	NM_011609	21937	Mm.1258	NM_011609	ENSMUSG00000030341	Tnfrsf1a	CD120a|FPF|TNF-R|TNF-R-I|TNF-R1|TNF-R55|TNF-alphaR1|TNFAR|TNFR60|TNFRI|TNFRp55|TNFalpha-R1|Tnfr-2|Tnfr1|p55|p55-R	tumor necrosis factor receptor superfamily, member 1a	protein-coding
704	chr6	39258625	39258969	+	0	NA	Intergenic	ORR1D2|LTR|ERVL-MaLR	-52024	NM_001033430	338523	Mm.293175	NM_001033430	ENSMUSG00000042599	Kdm7a	A630082K20Rik|BB041802|Jhdm1d|mKIAA1718	lysine (K)-specific demethylase 7A	protein-coding
1200	chr10	86053249	86053451	+	0	NA	3' UTR (NM_013722, exon 14 of 14)	3' UTR (NM_013722, exon 14 of 14)	31196	NM_001310745	69754	Mm.44236	NM_153195	ENSMUSG00000001786	Fbxo7	2410015K21Rik|A230052G17Rik|AI117679|AW260462|C85118	F-box protein 7	protein-coding
1059	chr9	32609375	32609546	+	0	NA	Intergenic	MTD|LTR|ERVL-MaLR	-68008	NM_008026	14247	Mm.258908	NM_008026	ENSMUSG00000016087	Fli1	EWSR2|Fli-1|SIC-1|Sic1	Friend leukemia integration 1	protein-coding
994	chr8	86654827	86655020	+	0	NA	intron (NM_001168591, intron 2 of 8)	intron (NM_001168591, intron 2 of 8)	3354	NM_001168591	66887	Mm.324550	NM_025827	ENSMUSG00000047866	Lonp2	1300002A08Rik|AU015403|Lonp	lon peptidase 2, peroxisomal	protein-coding
1290	chr11	62211133	62211373	+	0	NA	intron (NM_001029936, intron 11 of 12)	intron (NM_001029936, intron 11 of 12)	-37731	NM_007413	11541	Mm.40740	NM_007413	ENSMUSG00000018500	Adora2b	A2BAR|A2BR|A2b|AA2BR|AI480866|AI605384|ARA2B	adenosine A2b receptor	protein-coding
613	chr5	67930635	67931010	+	0	NA	Intergenic	Intergenic	-10847	NM_001256184	330097	Mm.78496	NM_001256184	ENSMUSG00000094719	Gm5108	EG330097	predicted gene 5108	protein-coding
1644	chr15	25553580	25553913	+	0	NA	Intergenic	Intergenic	-68804	NM_019472	17909	Mm.60590	NM_019472	ENSMUSG00000022272	Myo10	AW048724|D15Ertd600e|mKIAA0799|myosin-X	myosin X	protein-coding
1746	chr16	87597657	87598186	+	0	NA	Intergenic	Intergenic	44591	NM_144854	224419	Mm.194466	NM_144854	ENSMUSG00000025610	Map3k7cl	C21orf7|ORF63|Tak1l	Map3k7 C-terminal like	protein-coding
447	chr4	32101034	32101328	+	0	NA	Intergenic	L1MB3|LINE|L1	137074	NM_009316	26409	Mm.258589	NM_009316	ENSMUSG00000028284	Map3k7	B430101B05|C87327|Tak1	mitogen-activated protein kinase kinase kinase 7	protein-coding
1558	chr14	45005984	45006200	+	0	NA	Intergenic	LTR33|LTR|ERVL	17981	NM_008964	19217	Mm.4630	NM_008964	ENSMUSG00000037759	Ptger2	EP2|Ptgerep2	prostaglandin E receptor 2 (subtype EP2)	protein-coding
805	chr6	146769551	146770202	+	0	NA	intron (NM_172734, intron 9 of 13)	intron (NM_172734, intron 9 of 13)	-35654	NM_001289680	272322	Mm.333500	NM_172309	ENSMUSG00000040187	Arntl2	4632430A05Rik|BMAL2|CLIF|MOP9|bHLHe6	aryl hydrocarbon receptor nuclear translocator-like 2	protein-coding
1424	chr12	111944214	111944749	+	0	NA	promoter-TSS (NR_029464)	promoter-TSS (NR_029464)	1	NR_029464	77675	Mm.98331	NR_029464	ENSMUSG00000113769	5033406O09Rik	9130204G15Rik	RIKEN cDNA 5033406O09 gene	ncRNA
1329	chr11	120019857	120020089	+	0	NA	intron (NM_007377, intron 2 of 13)	intron (NM_007377, intron 2 of 13)	-5111	NR_029767	723844		NR_029767	ENSMUSG00000065600	Mir338	Mirn338|mir-338|mmu-mir-338	microRNA 338	ncRNA
1879	chr17	89155450	89155676	+	0	NA	intron (NM_013523, intron 1 of 9)	intron (NM_013523, intron 1 of 9)	45112	NM_013523	14309	Mm.57155	NM_013523	ENSMUSG00000032937	Fshr	-	follicle stimulating hormone receptor	protein-coding
793	chr6	134207891	134208079	+	0	NA	intron (NM_007961, intron 2 of 7)	intron (NM_007961, intron 2 of 7)	172285	NM_007961	14011	Mm.269995	NM_007961	ENSMUSG00000030199	Etv6	AW123102|AW557856|Tel	ets variant 6	protein-coding
986	chr8	79384251	79384480	+	0	NA	intron (NM_008539, intron 1 of 6)	intron (NM_008539, intron 1 of 6)	15063	NM_008539	17125	Mm.223717	NM_008539	ENSMUSG00000031681	Smad1	AI528653|Mad1|Madh1|Madr1|Mlp1|MusMLP|dwf-A|mMad1	SMAD family member 1	protein-coding
1690	chr16	3723183	3723650	+	0	NA	Intergenic	Intergenic	-5292	NM_001161790	54483	Mm.143718	NM_019453	ENSMUSG00000022534	Mefv	FMF|TRIM20|pyrin	Mediterranean fever	protein-coding
1446	chr13	28433549	28433745	+	0	NA	Intergenic	Lx7|LINE|L1	277226	NR_105787	102466635		NR_105787	ENSMUSG00000099158	Mir6368	Gm27800|mmu-mir-6368	microRNA 6368	ncRNA
499	chr4	97601481	97601688	+	0	NA	intron (NM_001122952, intron 1 of 10)	intron (NM_001122952, intron 1 of 10)	-16993	NR_015513	319865	Mm.373807	NM_177023		E130114P18Rik	-	RIKEN cDNA E130114P18 gene	ncRNA
467	chr4	53323294	53323550	+	0	NA	Intergenic	Intergenic	-53190	NR_033139	381524	Mm.23351	NM_001033454	ENSMUSG00000086712	AI427809	Gm1659|MeXis	expressed sequence AI427809	ncRNA
358	chr3	65941206	65941415	+	0	NA	Intergenic	Lx8|LINE|L1	16939	NM_001355433	56706	Mm.175612	NM_019937	ENSMUSG00000027829	Ccnl1	2610030E23Rik|AU018493|Ccnl|ania-6a	cyclin L1	protein-coding
1270	chr11	34424192	34424527	+	0	NA	intron (NM_033374, intron 27 of 51)	intron (NM_033374, intron 27 of 51)	109537	NM_001025382	574403	Mm.444796	NM_001025382	ENSMUSG00000069911	Insyn2b	EG574403|Fam196b|Gm6041	inhibitory synaptic factor family member 2B	protein-coding
1708	chr16	21253806	21254016	+	0	NA	intron (NR_046162, intron 4 of 4)	B3|SINE|B2	2155	NR_106145	102465781		NR_106145	ENSMUSG00000098400	Mir7680	Gm27417|mmu-mir-7680	microRNA 7680	ncRNA
92	chr1	131006237	131006449	+	0	NA	Intergenic	MIRc|SINE|MIR	-13502	NM_010548	16153	Mm.874	NM_010548	ENSMUSG00000016529	Il10	CSIF|Il-10	interleukin 10	protein-coding
1831	chr17	57311847	57312044	+	0	NA	intron (NM_011691, intron 23 of 26)	intron (NM_011691, intron 23 of 26)	32845	NM_011691	22324	Mm.248172	NM_011691	ENSMUSG00000034116	Vav1	Vav|vav-T	vav 1 oncogene	protein-coding
953	chr8	26621814	26622039	+	0	NA	Intergenic	Intergenic	202497	NR_045904	72316	Mm.490534	NR_045904	ENSMUSG00000100335	2310008N11Rik	-	RIKEN cDNA 2310008N11 gene	ncRNA
192	chr2	52169370	52169534	+	0	NA	intron (NM_010889, intron 135 of 156)	intron (NM_010889, intron 135 of 156)	96615	NM_175238	51869	Mm.254530	NM_175238	ENSMUSG00000036202	Rif1	5730435J01Rik|6530403D07Rik|AU016181|AW549474|D2Ertd145e	replication timing regulatory factor 1	protein-coding
668	chr5	140936113	140936319	+	0	NA	intron (NM_175362, intron 1 of 24)	intron (NM_175362, intron 1 of 24)	64380	NM_175362	108723	Mm.46187	NM_175362	ENSMUSG00000036526	Card11	0610008L17Rik|2410011D02Rik|BIMP3|CARMA1	caspase recruitment domain family, member 11	protein-coding
969	chr8	46763239	46763438	+	0	NA	intron (NM_008391, intron 1 of 8)	intron (NM_008391, intron 1 of 8)	23593	NR_152560	16363	Mm.1149	NM_008391	ENSMUSG00000031627	Irf2	9830146E22Rik|AI646973|Irf-2	interferon regulatory factor 2	protein-coding
1811	chr17	35420437	35420732	+	0	NA	Intergenic	Intergenic	-4263	NM_023124	15019	Mm.486287	NM_023124		H2-Q8	H-2Q8|MMS10-T|Ms10t|Qa-2|Qa-8|Qa8	histocompatibility 2, Q region locus 8	protein-coding
688	chr6	22019756	22020083	+	0	NA	intron (NM_001081351, intron 2 of 21)	intron (NM_001081351, intron 2 of 21)	34009	NM_001081351	214642	Mm.221404	NM_001081351	ENSMUSG00000062980	Cped1	6720481P07|A430107O13Rik|AI552584	cadherin-like and PC-esterase domain containing 1	protein-coding
307	chr2	166357968	166358165	+	0	NA	Intergenic	Intergenic	84158	NR_033467	670775	Mm.384326	NR_033467	ENSMUSG00000084840	Gm11468	-	predicted gene 11468	ncRNA
1987	chr19	37842328	37842520	+	0	NA	Intergenic	Intergenic	144616	NM_007811	13082	Mm.42230	NM_007811	ENSMUSG00000024987	Cyp26a1	Cyp26|P450RA|P450RAI|RAH	cytochrome P450, family 26, subfamily a, polypeptide 1	protein-coding
201	chr2	60739518	60739784	+	0	NA	Intergenic	Intergenic	-17048	NM_001159564	16420	Mm.98193	NM_021359	ENSMUSG00000026971	Itgb6	2210409C20Rik|4831415H04Rik	integrin beta 6	protein-coding
121	chr1	161327442	161327638	+	0	NA	Intergenic	Intergenic	-67898	NM_009452	22164	Mm.4994	NM_009452	ENSMUSG00000026700	Tnfsf4	Ath-1|Ath1|CD134L|OX-40L|Ox40l|TXGP1|Tnlg2b|Txgp1l|gp34	tumor necrosis factor (ligand) superfamily, member 4	protein-coding
692	chr6	29897060	29897436	+	0	NA	intron (NM_001347084, intron 13 of 17)	intron (NM_001347084, intron 13 of 17)	-19765	NR_104576	320609	Mm.56097	NM_177204	ENSMUSG00000039629	Strip2	D330017J20Rik|Fam40b	striatin interacting protein 2	protein-coding
1575	chr14	53675854	53676373	+	0	NA	Intergenic	Intergenic	577816	NM_001113358	13135	Mm.319038	NM_010015	ENSMUSG00000022174	Dad1	AI323713	defender against cell death 1	protein-coding
889	chr7	97209817	97210067	+	0	NA	intron (NM_001162477, intron 1 of 9)	intron (NM_001162477, intron 1 of 9)	122167	NM_001177412	244144	Mm.297541	NM_001177412	ENSMUSG00000035713	Usp35	Gm1088|Gm493	ubiquitin specific peptidase 35	protein-coding
556	chr4	155504978	155505243	+	0	NA	intron (NM_001160017, intron 1 of 10)	intron (NM_001160017, intron 1 of 10)	13749	NM_001160016	14688	Mm.2344	NM_008142	ENSMUSG00000029064	Gnb1	AA409223|C77571|Gnb-1	guanine nucleotide binding protein (G protein), beta 1	protein-coding
75	chr1	119050101	119050322	+	0	NA	intron (NM_001081125, intron 1 of 13)	intron (NM_001081125, intron 1 of 13)	3408	NM_001081125	14633	Mm.273292	NM_001081125	ENSMUSG00000048402	Gli2	-	GLI-Kruppel family member GLI2	protein-coding
179	chr2	35368439	35369182	+	0	NA	Intergenic	RMER1C|Other|Other	-1081	NM_029463	75859	Mm.159604	NM_029463	ENSMUSG00000026882	4930568D16Rik	Ggta1l1	RIKEN cDNA 4930568D16 gene	protein-coding
49	chr1	84190307	84190528	+	0	NA	intron (NM_001003948, intron 1 of 2)	MTC|LTR|ERVL-MaLR	28544	NR_105771	102465181		NR_105771	ENSMUSG00000098851	Mir6353	Gm27391|mmu-mir-6353	microRNA 6353	ncRNA
1416	chr12	107502197	107502387	+	0	NA	Intergenic	Intergenic	233196	NR_045973	74968	Mm.359821	NR_045973	ENSMUSG00000085641	4930465M20Rik	4930431H15Rik	RIKEN cDNA 4930465M20 gene	ncRNA
38	chr1	62995311	62995489	+	0	NA	Intergenic	Intergenic	118867	NM_001081436	227195	Mm.74718	NM_001081436	ENSMUSG00000040865	Ino80d	7330405I11|A430093A21Rik|BC010584	INO80 complex subunit D	protein-coding
2022	chrX	94493074	94493251	+	0	NA	Intergenic	Intergenic	48863	NR_157578	94275	Mm.27578	NM_019791	ENSMUSG00000025151	Maged1	2810433C11Rik|5430405L04Rik|DXBwg1492e|Dlixin|Dlxin-1|Dlxin1|MAGE-D1|NRAGE	melanoma antigen, family D, 1	protein-coding
1030	chr8	121872071	121872274	+	0	NA	Intergenic	Intergenic	35514	NM_011404	20539	Mm.22374	NM_011404	ENSMUSG00000040010	Slc7a5	4F2LC|D0H16S474E|LAT1|TA1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	protein-coding
1275	chr11	49764269	49764533	+	0	NA	Intergenic	MIRc|SINE|MIR	-29754	NM_013529	14584	Mm.24402	NM_013529	ENSMUSG00000020363	Gfpt2	AI480523|GFAT2	glutamine fructose-6-phosphate transaminase 2	protein-coding
2024	chrX	99049167	99049513	+	0	NA	intron (NM_199018, intron 1 of 13)	intron (NM_199018, intron 1 of 13)	6759	NM_199018	236920	Mm.236928	NM_199018	ENSMUSG00000031216	Stard8	Dlc3|mKIAA0189	START domain containing 8	protein-coding
1046	chr9	12953873	12954051	+	0	NA	Intergenic	ORR1B2|LTR|ERVL-MaLR	151893	NR_040755	78219	Mm.414868	NR_040755	ENSMUSG00000111830	4930568E12Rik	-	RIKEN cDNA 4930568E12 gene	ncRNA
880	chr7	84321550	84321855	+	0	NA	intron (NM_007488, intron 5 of 18)	ORR1E|LTR|ERVL-MaLR	88336	NM_007488	11864	Mm.38594	NM_007488	ENSMUSG00000015709	Arnt2	Hif-2b|bHLHe1|mKIAA0307	aryl hydrocarbon receptor nuclear translocator 2	protein-coding
886	chr7	96210672	96211034	+	0	NA	promoter-TSS (NM_001310760)	promoter-TSS (NM_001310760)	216	NM_011858	23966	Mm.254610	NM_011858	ENSMUSG00000048078	Tenm4	Doc4|ELM2|Odz4|R75022|Ten-m4|l(7)-3Rn|l7Rn3|mKIAA1302	teneurin transmembrane protein 4	protein-coding
656	chr5	124232367	124232600	+	0	NA	intron (NR_045369, intron 2 of 5)	intron (NR_045369, intron 2 of 5)	2758	NR_045369	75927	Mm.410803	NR_045369	ENSMUSG00000090220	Pitpnm2os1	4930568K20Rik	phosphatidylinositol transfer protein, membrane-associated 2, opposite strand 1	ncRNA
1501	chr13	76581315	76581506	+	0	NA	intron (NM_030174, intron 1 of 20)	intron (NM_030174, intron 1 of 20)	196449	NM_030174	78771	Mm.316249	NM_030174	ENSMUSG00000021596	Mctp1	2810465F10Rik	multiple C2 domains, transmembrane 1	protein-coding
1753	chr16	94125304	94125527	+	0	NA	intron (NM_011377, intron 10 of 10)	CpG	40155	NM_011377	20465	Mm.4775	NM_011377	ENSMUSG00000062713	Sim2	bHLHe15	single-minded family bHLH transcription factor 2	protein-coding
1466	chr13	41801358	41801577	+	0	NA	intron (NM_175417, intron 4 of 6)	intron (NM_175417, intron 4 of 6)	46021	NM_175417	109254	Mm.25195	NM_175417	ENSMUSG00000058022	Adtrp	9530008L14Rik	androgen dependent TFPI regulating protein	protein-coding
1224	chr10	117755166	117755610	+	0	NA	intron (NM_134010, intron 26 of 27)	intron (NM_134010, intron 26 of 27)	-9030	NM_029875	215436	Mm.256753	NM_029875	ENSMUSG00000060181	Slc35e3	9330166G04Rik|AI481200	solute carrier family 35, member E3	protein-coding
1252	chr11	20958237	20958598	+	0	NA	Intergenic	Intergenic	-127309	NM_173752	216551	Mm.76694	NM_173752	ENSMUSG00000042363	Lgalsl	1110067D22Rik|A530071M23|Grpa|Hspc159|Lgalsla	lectin, galactoside binding-like	protein-coding
1396	chr12	86046932	86047109	+	0	NA	intron (NM_001364625, intron 33 of 33)	intron (NM_001364625, intron 33 of 33)	32021	NM_009368	21809	Mm.3992	NM_009368	ENSMUSG00000021253	Tgfb3	TGF-beta-3|Tgfb-3	transforming growth factor, beta 3	protein-coding
1837	chr17	67517420	67517671	+	0	NA	Intergenic	RMER5|LTR|ERV1	111787	NR_155516	102640031	Mm.421441	NR_155516	ENSMUSG00000117029	Gm36201	-	predicted gene, 36201	ncRNA
1082	chr9	62726596	62726759	+	0	NA	intron (NM_176922, intron 2 of 29)	intron (NM_176922, intron 2 of 29)	48822	NM_176922	319480	Mm.34883	NM_176922	ENSMUSG00000032243	Itga11	4732459H24Rik	integrin alpha 11	protein-coding
1250	chr11	20477108	20477306	+	0	NA	Intergenic	Intergenic	-65959	NM_001362867	58172	Mm.339676	NM_021372	ENSMUSG00000049800	Sertad2	AB041541|AU021878|Kiaa0127|MNCb-1504|SEI-2|Sei2|TRIP-Br2|mKIAA0127	SERTA domain containing 2	protein-coding
118	chr1	159065125	159065566	+	0	NA	Intergenic	Intergenic	-84883	NR_163823								
976	chr8	70903977	70904279	+	0	NA	Intergenic	B1F2|SINE|Alu	-1846	NM_173013	270058	Mm.248559	NM_173013	ENSMUSG00000019261	Map1s	6430517J16Rik|Bpy2ip1|Map8|Mtap1s|VCY2IP1	microtubule-associated protein 1S	protein-coding
389	chr3	109361922	109362185	+	0	NA	intron (NM_020505, intron 1 of 26)	intron (NM_020505, intron 1 of 26)	21370	NM_020505	57257	Mm.282257	NM_020505	ENSMUSG00000033721	Vav3	A530094I06Rik|AA986410|Idd18.1	vav 3 oncogene	protein-coding
1278	chr11	50850456	50850647	+	0	NA	promoter-TSS (NM_173372)	promoter-TSS (NM_173372)	-134	NM_173372	108072	Mm.134265	NM_173372	ENSMUSG00000000617	Grm6	BC021919|Gm3|Gprc1f|mGluR6|nerg1|nob2|nob3|nob4	glutamate receptor, metabotropic 6	protein-coding
