PeakID (cmd=annotatePeaks.pl runx1_less_accessible.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
112	chr5	57841476	57841696	+	0	NA	intron (NM_001310608, intron 1 of 3)	intron (NM_001310608, intron 1 of 3)	123505	NM_018764	54216	Mm.332387	NM_018764	ENSMUSG00000029108	Pcdh7	-	protocadherin 7	protein-coding
19	chr1	160079335	160079595	+	0	NA	TTS (NM_001162896)	TTS (NM_001162896)	-1480	NR_038031	75255	Mm.414845	NR_038030	ENSMUSG00000026729	4930562F07Rik	-	RIKEN cDNA 4930562F07 gene	ncRNA
242	chr13	38948046	38948452	+	0	NA	intron (NM_001170431, intron 3 of 9)	intron (NM_001170431, intron 3 of 9)	12288	NM_001170430	108652	Mm.255506	NM_134060	ENSMUSG00000021432	Slc35b3	4921526O06Rik|AI428480|CGI-19|PABST2|PAPST2	solute carrier family 35, member B3	protein-coding
63	chr3	57093581	57093884	+	0	NA	Intergenic	ORR1F|LTR|ERVL-MaLR	208256	NM_008536	17112	Mm.856	NM_008536	ENSMUSG00000027800	Tm4sf1	L6|M3s1	transmembrane 4 superfamily member 1	protein-coding
47	chr2	135390604	135390815	+	0	NA	intron (NM_001145830, intron 31 of 31)	ORR1E|LTR|ERVL-MaLR	-175093	NR_040517	78805	Mm.78702	NR_040517	ENSMUSG00000085247	4930545L23Rik	-	RIKEN cDNA 4930545L23 gene	ncRNA
25	chr2	10718383	10718587	+	0	NA	Intergenic	Intergenic	200330	NR_035418	100316831		NR_035418	ENSMUSG00000080594	Mir669h	Mirn669h|mir-669h|mmu-mir-669h	microRNA 669h	ncRNA
76	chr3	149332252	149332445	+	0	NA	Intergenic	Intergenic	57611	NR_040591	381482	Mm.393866	NR_040591		Gm1653	-	predicted gene 1653	ncRNA
280	chr16	24016876	24017080	+	0	NA	Intergenic	Intergenic	-28126	NM_009744	12053	Mm.347398	NM_009744	ENSMUSG00000022508	Bcl6	Bcl5	B cell leukemia/lymphoma 6	protein-coding
143	chr6	124477715	124477992	+	0	NA	Intergenic	CYRA11_Mm|Unknown|Y-chromosome	-13069	NM_153508	232370	Mm.193701	NM_153508	ENSMUSG00000008153	Clstn3	CSTN3|Cs3|Cst-3|alc-beta	calsyntenin 3	protein-coding
221	chr12	3548466	3548935	+	0	NA	Intergenic	Intergenic	-23691	NR_027870	13528	Mm.286202	NM_007886	ENSMUSG00000071454	Dtnb	-	dystrobrevin, beta	protein-coding
257	chr13	94174551	94174898	+	0	NA	intron (NM_172589, intron 3 of 3)	intron (NM_172589, intron 3 of 3)	110557	NM_029153	107767	Mm.201455	NM_029153	ENSMUSG00000021687	Scamp1	4930505M11Rik|AI415563|AW122395	secretory carrier membrane protein 1	protein-coding
145	chr6	145845724	145845904	+	0	NA	Intergenic	ID_B1|SINE|B4	19606	NM_001271768	79362	Mm.154529	NM_024469	ENSMUSG00000030256	Bhlhe41	6430520M22Rik|Bhlhb2l|Bhlhb3|DEC2|Sharp1	basic helix-loop-helix family, member e41	protein-coding
291	chr17	7184610	7184927	+	0	NA	intron (NM_011299, intron 1 of 20)	intron (NM_011299, intron 1 of 20)	14653	NM_011299	20112	Mm.268383	NM_011299	ENSMUSG00000023809	Rps6ka2	90kDa|D17Wsu134e|Rps6ka-rs1|Rsk3|p90rsk|pp90rsk	ribosomal protein S6 kinase, polypeptide 2	protein-coding
15	chr1	149948116	149948368	+	0	NA	intron (NM_008869, intron 1 of 17)	intron (NM_008869, intron 1 of 17)	13048	NM_008869	18783	Mm.4186	NM_008869	ENSMUSG00000056220	Pla2g4a	Pla2g4|cPLA2|cPLA2-alpha|cPLA2alpha	phospholipase A2, group IVA (cytosolic, calcium-dependent)	protein-coding
12	chr1	118980695	118980977	+	0	NA	intron (NM_001081125, intron 2 of 13)	intron (NM_001081125, intron 2 of 13)	26616	NR_105764	102465176		NR_105764	ENSMUSG00000098273	Mir6346	Gm27829|mmu-mir-6346	microRNA 6346	ncRNA
241	chr13	38948046	38948452	+	0	NA	intron (NM_001170431, intron 3 of 9)	intron (NM_001170431, intron 3 of 9)	12288	NM_001170430	108652	Mm.255506	NM_134060	ENSMUSG00000021432	Slc35b3	4921526O06Rik|AI428480|CGI-19|PABST2|PAPST2	solute carrier family 35, member B3	protein-coding
225	chr12	77142472	77142685	+	0	NA	Intergenic	RMER13B|LTR|ERVK	-95526	NM_016893	53618	Mm.35628	NM_016893	ENSMUSG00000021065	Fut8	-	fucosyltransferase 8	protein-coding
262	chr14	25476070	25476461	+	0	NA	intron (NM_183208, intron 1 of 23)	intron (NM_183208, intron 1 of 23)	17080	NM_183208	328365	Mm.227484	NM_183208	ENSMUSG00000007817	Zmiz1	BC065120|E330020C23|Gm10397|I920194n01|Rai17|Zimp10	zinc finger, MIZ-type containing 1	protein-coding
41	chr2	105358149	105358448	+	0	NA	intron (NM_028747, intron 3 of 3)	MLT1K|LTR|ERVL-MaLR	41021	NM_009037	19672	Mm.4876	NM_009037	ENSMUSG00000005973	Rcn1	Rcn	reticulocalbin 1	protein-coding
319	chr18	32398525	32398880	+	0	NA	intron (NM_001360876, intron 1 of 17)	intron (NM_001360876, intron 1 of 17)	-20418	NR_045403	402767	Mm.385109	NR_045403		A830052D11Rik	-	RIKEN cDNA A830052D11 gene	ncRNA
9	chr1	89899111	89899426	+	0	NA	Intergenic	Intergenic	31908	NM_010262	14472	Mm.204730	NM_010262	ENSMUSG00000034486	Gbx2	D130058E05Rik|Gbx-2|MMoxA|Stra7	gastrulation brain homeobox 2	protein-coding
177	chr8	75119505	75119683	+	0	NA	intron (NM_008566, intron 9 of 16)	MIRc|SINE|MIR	10085	NM_008566	17218	Mm.5048	NM_008566	ENSMUSG00000005410	Mcm5	AA617332|AI324988|AL033333|Cdc46|Mcmd5|P1-CDC46	minichromosome maintenance complex component 5	protein-coding
119	chr5	135134526	135134799	+	0	NA	intron (NR_152882, intron 15 of 16)	intron (NR_152882, intron 15 of 16)	-15024	NM_001363307	27368	Mm.36746	NM_013763	ENSMUSG00000005374	Tbl2	C76179|WS-bTRP	transducin (beta)-like 2	protein-coding
136	chr6	86547988	86548210	+	0	NA	intron (NR_037960, intron 3 of 4)	intron (NR_037960, intron 3 of 4)	20698	NR_037961	72012	Mm.349174	NR_037960	ENSMUSG00000097048	1600020E01Rik	-	RIKEN cDNA 1600020E01 gene	ncRNA
82	chr4	53238817	53239126	+	0	NA	Intergenic	RMER1A|Other|Other	-7225	NR_040665	78180	Mm.243847	NR_040665	ENSMUSG00000086947	4930522O17Rik	-	RIKEN cDNA 4930522O17 gene	ncRNA
231	chr12	108239645	108240039	+	0	NA	intron (NM_001159910, intron 1 of 5)	intron (NM_001159910, intron 1 of 5)	35551	NM_001159910	668158		NM_001159910	ENSMUSG00000084883	Ccdc85c	EG668158|Gm265|Gm9010|hhy	coiled-coil domain containing 85C	protein-coding
215	chr11	34424192	34424527	+	0	NA	intron (NM_033374, intron 27 of 51)	intron (NM_033374, intron 27 of 51)	109537	NM_001025382	574403	Mm.444796	NM_001025382	ENSMUSG00000069911	Insyn2b	EG574403|Fam196b|Gm6041	inhibitory synaptic factor family member 2B	protein-coding
118	chr5	134611859	134612361	+	0	NA	intron (NM_022964, intron 1 of 11)	intron (NM_022964, intron 1 of 11)	2915	NM_022964	56743	Mm.391375	NM_020044	ENSMUSG00000040751	Lat2	AW125574|LAB|NTAL|WSCR5|Wbscr15|Wbscr5	linker for activation of T cells family, member 2	protein-coding
158	chr7	130323781	130324031	+	0	NA	Intergenic	ORR1G|LTR|ERVL-MaLR	-57098	NM_001347638	14183	Mm.16340	NM_010207	ENSMUSG00000030849	Fgfr2	AU043015|AW556123|Bek|Fgfr-2|Fgfr-7|Fgfr7|KGFR|KGFRTr|svs	fibroblast growth factor receptor 2	protein-coding
57	chr2	161398203	161398441	+	0	NA	Intergenic	ORR1B1|LTR|ERVL-MaLR	-289236	NR_126509	71389	Mm.122738	NM_173368	ENSMUSG00000057133	Chd6	5430439G14Rik|6330406J24Rik|CHD-6	chromodomain helicase DNA binding protein 6	protein-coding
229	chr12	85541065	85541436	+	0	NA	Intergenic	Intergenic	-57855	NM_001205052	81703	Mm.103560	NM_030887	ENSMUSG00000034271	Jdp2	Jundm2|Jundp2|TIF	Jun dimerization protein 2	protein-coding
325	chr19	21552861	21553076	+	0	NA	Intergenic	Intergenic	-80307	NM_010266	14544	Mm.45054	NM_010266	ENSMUSG00000058624	Gda	AU015411|AW047581|GAH	guanine deaminase	protein-coding
100	chr4	123941081	123941277	+	0	NA	Intergenic	B2_Mm1t|SINE|B2	23746	NM_017475	54170	Mm.220922	NM_017475	ENSMUSG00000028646	Rragc	AU041672|Gtr2|RAGC|TIB929|YGR163W	Ras-related GTP binding C	protein-coding
182	chr8	108392930	108393240	+	0	NA	Intergenic	Intergenic	191592	NR_077224	109215	Mm.65282	NR_077224	ENSMUSG00000110613	Lncbate1	3010033K07Rik|Lnc-BATE1	brown adipose tissue enriched long non-coding RNA 1	ncRNA
166	chr8	22536849	22537141	+	0	NA	intron (NM_011394, intron 2 of 10)	intron (NM_011394, intron 2 of 10)	56818	NM_001198998	22335	Mm.227704	NM_011696	ENSMUSG00000008892	Vdac3	-	voltage-dependent anion channel 3	protein-coding
300	chr17	35752983	35753272	+	0	NA	Intergenic	(TG)n|Simple_repeat|Simple_repeat	-19323	NR_045459	74601	Mm.410840	NR_045459	ENSMUSG00000092171	4833427F10Rik	-	RIKEN cDNA 4833427F10 gene	ncRNA
236	chr13	13968738	13969100	+	0	NA	intron (NM_001362405, intron 2 of 12)	intron (NM_001362405, intron 2 of 12)	14245	NM_001362405	97884	Mm.21686	NM_178640	ENSMUSG00000039242	B3galnt2	A930105D20Rik|C80633|D230016N13Rik	UDP-GalNAc:betaGlcNAc beta 1,3-galactosaminyltransferase, polypeptide 2	protein-coding
70	chr3	121474703	121475105	+	0	NA	intron (NM_145394, intron 12 of 14)	intron (NM_145394, intron 12 of 14)	48363	NM_028044	71994	Mm.275555	NM_028044	ENSMUSG00000053931	Cnn3	1600014M03Rik|C85854|Calpo3	calponin 3, acidic	protein-coding
178	chr8	80463513	80463906	+	0	NA	Intergenic	Intergenic	-30336	NM_010369	14934	Mm.13123	NM_010369	ENSMUSG00000051839	Gypa	AI853584|CD235a|GPA	glycophorin A	protein-coding
103	chr5	8863292	8863492	+	0	NA	intron (NM_011075, intron 26 of 27)	intron (NM_011075, intron 26 of 27)	-30329	NM_008830	18670	Mm.297825	NM_008830	ENSMUSG00000042476	Abcb4	Mdr2|Pgy-2|Pgy2|mdr-2	ATP-binding cassette, sub-family B (MDR/TAP), member 4	protein-coding
283	chr16	51352149	51352448	+	0	NA	Intergenic	Intergenic	568889	NR_131005	78639	Mm.160109	NR_131005	ENSMUSG00000092276	1700116B05Rik	-	RIKEN cDNA 1700116B05 gene	ncRNA
141	chr6	112870833	112871053	+	0	NA	intron (NM_080448, intron 1 of 21)	intron (NM_080448, intron 1 of 21)	76323	NM_080448	259302	Mm.236401	NM_080448	ENSMUSG00000030257	Srgap3	AI452337|Arhgap14|D130026O08Rik|Gbi|MEGAP|WRP|mKIAA0411	SLIT-ROBO Rho GTPase activating protein 3	protein-coding
171	chr8	25132562	25132929	+	0	NA	Intergenic	RMER4A|LTR|ERVK	26488	NR_106187	102467006		NR_106187	ENSMUSG00000099142	Mir8108	Gm27484|mmu-mir-8108	microRNA 8108	ncRNA
8	chr1	89090235	89090746	+	0	NA	intron (NM_133816, intron 1 of 5)	intron (NM_133816, intron 1 of 5)	20075	NM_133816	98402	Mm.170983	NM_133816	ENSMUSG00000036206	Sh3bp4	AI594717|AW227605|BOG25	SH3-domain binding protein 4	protein-coding
20	chr1	161327442	161327638	+	0	NA	Intergenic	Intergenic	-67898	NM_009452	22164	Mm.4994	NM_009452	ENSMUSG00000026700	Tnfsf4	Ath-1|Ath1|CD134L|OX-40L|Ox40l|TXGP1|Tnlg2b|Txgp1l|gp34	tumor necrosis factor (ligand) superfamily, member 4	protein-coding
311	chr17	87766108	87766306	+	0	NA	intron (NM_199251, intron 1 of 1)	MER90|LTR|ERV1	31787	NM_199251	210741	Mm.312046	NM_199251	ENSMUSG00000050138	Kcnk12	mntk1	potassium channel, subfamily K, member 12	protein-coding
67	chr3	90446466	90446646	+	0	NA	Intergenic	MIRc|SINE|MIR	-12920	NM_145540	229543	Mm.268564	NM_145540	ENSMUSG00000027933	Ints3	C77668	integrator complex subunit 3	protein-coding
128	chr6	41253379	41253817	+	0	NA	Intergenic	Intergenic	-48674	NM_011646	22074	Mm.383263	NM_011646	ENSMUSG00000054106	Try4	0910001B19Rik|Td	trypsin 4	protein-coding
21	chr1	165603464	165603771	+	0	NA	intron (NM_001083897, intron 4 of 5)	intron (NM_001083897, intron 4 of 5)	30924	NM_001001880	68481	Mm.46438	NM_001001880	ENSMUSG00000026566	Mpzl1	1110007A10Rik|PZR	myelin protein zero-like 1	protein-coding
195	chr10	4518354	4518602	+	0	NA	intron (NM_001195672, intron 3 of 10)	intron (NM_001195672, intron 3 of 10)	8606	NM_001195672	100504234	Mm.291807	NM_001195672	ENSMUSG00000019767	Ccdc170	Gm221	coiled-coil domain containing 170	protein-coding
294	chr17	13674886	13675150	+	0	NA	Intergenic	ORR1E|LTR|ERVL-MaLR	-85523	NM_010806	17356	Mm.59167	NM_010806	ENSMUSG00000068036	Afdn	5033403D15Rik|AF6|Af-6|Afadin|Gm314|I-afadin|Mllt4|S-afadin	afadin, adherens junction formation factor	protein-coding
84	chr4	62542495	62542746	+	0	NA	intron (NM_001356421, intron 7 of 13)	intron (NM_001356421, intron 7 of 13)	16977	NM_001356421	214106	Mm.73212	NM_177607	ENSMUSG00000058046	4933430I17Rik	bN189G18.7	RIKEN cDNA 4933430I17 gene	protein-coding
296	chr17	14886975	14887246	+	0	NA	intron (NM_175173, intron 21 of 24)	intron (NM_175173, intron 21 of 24)	56014	NM_175173	71682	Mm.122698	NM_175173	ENSMUSG00000046991	Wdr27	0610012K18Rik	WD repeat domain 27	protein-coding
133	chr6	67101857	67102332	+	0	NA	Intergenic	Intergenic	-64687	NM_007836	13197	Mm.72235	NM_007836	ENSMUSG00000036390	Gadd45a	AA545191|Ddit1|GADD45	growth arrest and DNA-damage-inducible 45 alpha	protein-coding
201	chr10	63086350	63086624	+	0	NA	Intergenic	Intergenic	-13298	NM_016864	53404	Mm.228661	NM_016864	ENSMUSG00000036816	Atoh7	Math5|bHLHa13	atonal bHLH transcription factor 7	protein-coding
335	chrX	101772020	101772285	+	0	NA	Intergenic	ID|SINE|ID	-22504	NM_001359671	382231	Mm.328112	NM_001359671	ENSMUSG00000046774	8030474K03Rik	Gm1142	RIKEN cDNA 8030474K03 gene	protein-coding
1	chr1	12940190	12940446	+	0	NA	intron (NM_172841, intron 2 of 8)	intron (NM_172841, intron 2 of 8)	50817	NM_172841	240726	Mm.24481	NM_172841	ENSMUSG00000025938	Slco5a1	4732454B15|A630033C23Rik|AA407151	solute carrier organic anion transporter family, member 5A1	protein-coding
138	chr6	88329745	88330263	+	0	NA	intron (NR_149744, intron 3 of 5)	intron (NR_149744, intron 3 of 5)	107736	NM_019964	56691	Mm.272871	NM_019964	ENSMUSG00000048206	Dnajb8	1700016F14Rik|1700031F10Rik|AI326313|mDj6	DnaJ heat shock protein family (Hsp40) member B8	protein-coding
179	chr8	91376059	91376367	+	0	NA	intron (NM_011936, intron 1 of 8)	G-rich|Low_complexity|Low_complexity	62688	NM_011936	26383	Mm.4375	NM_011936	ENSMUSG00000055932	Fto	AW743446|mKIAA1752	fat mass and obesity associated	protein-coding
202	chr10	75125715	75125884	+	0	NA	intron (NM_001081412, intron 2 of 22)	intron (NM_001081412, intron 2 of 22)	64903	NM_001081412	110279	Mm.333722	NM_001081412	ENSMUSG00000009681	Bcr	5133400C09Rik|AI561783|AI853148|mKIAA3017	breakpoint cluster region	protein-coding
205	chr10	89791790	89792290	+	0	NA	intron (NM_029166, intron 11 of 20)	intron (NM_029166, intron 11 of 20)	47049	NM_029166	75089	Mm.268922	NM_029166	ENSMUSG00000019951	Uhrf1bp1l	2010319N22Rik|4930506D01Rik|AA589495|C80672|E030041M21Rik|mKIAA0701	UHRF1 (ICBP90) binding protein 1-like	protein-coding
265	chr14	75696881	75697201	+	0	NA	TTS (NM_001369022)	TTS (NM_001369022)	54782	NM_029230	75272	Mm.159483	NM_029230	ENSMUSG00000022002	Erich6b	4930564B18Rik|Gm46471	glutamate rich 6B	protein-coding
250	chr13	52188411	52188630	+	0	NA	Intergenic	Intergenic	91779	NR_045061	74050	Mm.84860	NR_045061	ENSMUSG00000113211	4921525O09Rik	-	RIKEN cDNA 4921525O09 gene	ncRNA
24	chr1	194056472	194056841	+	0	NA	Intergenic	Intergenic	166103	NR_040477	74942	Mm.60689	NR_040477	ENSMUSG00000103692	4930503O07Rik	-	RIKEN cDNA 4930503O07 gene	ncRNA
165	chr8	14873775	14873994	+	0	NA	Intergenic	Intergenic	-14652	NM_012000	26889	Mm.254027	NM_012000	ENSMUSG00000026317	Cln8	mnd	ceroid-lipofuscinosis, neuronal 8	protein-coding
299	chr17	29916918	29917181	+	0	NA	Intergenic	ORR1E|LTR|ERVL-MaLR	-28471	NM_001368423	74762	Mm.40901	NM_001081160	ENSMUSG00000043557	Mdga1	1200011I03Rik|GPIM|Mamdc3	MAM domain containing glycosylphosphatidylinositol anchor 1	protein-coding
33	chr2	35368439	35369182	+	0	NA	Intergenic	RMER1C|Other|Other	-1081	NM_029463	75859	Mm.159604	NM_029463	ENSMUSG00000026882	4930568D16Rik	Ggta1l1	RIKEN cDNA 4930568D16 gene	protein-coding
276	chr15	76672290	76672556	+	0	NA	intron (NR_152559, intron 1 of 8)	intron (NR_152559, intron 1 of 8)	780	NR_152559	73062	Mm.322901	NM_033371	ENSMUSG00000033819	Ppp1r16a	2900084E10Rik|Mypt3|R75527	protein phosphatase 1, regulatory subunit 16A	protein-coding
211	chr11	22756667	22756906	+	0	NA	Intergenic	Intergenic	102949	NM_016888	53625	Mm.395495	NM_016888	ENSMUSG00000051650	B3gnt2	AA408337|AA409404|AW260308|B3Galt6|B3gnt1|BGnT-1|BGnT-2|BGnT1|BGnT2|Beta3gnt	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	protein-coding
29	chr2	21964092	21964277	+	0	NA	Intergenic	Intergenic	-263319	NM_148413	667663	Mm.330033	NM_148413	ENSMUSG00000025716	Myo3a	9030416P08Rik	myosin IIIA	protein-coding
40	chr2	102384318	102384616	+	0	NA	intron (NM_020267, intron 1 of 4)	intron (NM_020267, intron 1 of 4)	16433	NM_020267	80985	Mm.315002	NM_020267	ENSMUSG00000027189	Trim44	Dipb|Mc7	tripartite motif-containing 44	protein-coding
52	chr2	152349977	152350300	+	0	NA	intron (NR_033505, intron 1 of 4)	intron (NR_033505, intron 1 of 4)	4469	NR_033505	791417	Mm.451219	NR_033505	ENSMUSG00000068062	Gm14164	-	predicted gene 14164	ncRNA
317	chr18	21152272	21152480	+	0	NA	intron (NM_001033445, intron 3 of 5)	intron (NM_001033445, intron 3 of 5)	80032	NM_008586	17288	Mm.2682	NM_008586	ENSMUSG00000024313	Mep1b	Mep-1b	meprin 1 beta	protein-coding
16	chr1	149948388	149948681	+	0	NA	intron (NM_008869, intron 1 of 17)	intron (NM_008869, intron 1 of 17)	12756	NM_008869	18783	Mm.4186	NM_008869	ENSMUSG00000056220	Pla2g4a	Pla2g4|cPLA2|cPLA2-alpha|cPLA2alpha	phospholipase A2, group IVA (cytosolic, calcium-dependent)	protein-coding
95	chr4	97590312	97590535	+	0	NA	intron (NM_001122952, intron 1 of 10)	intron (NM_001122952, intron 1 of 10)	-5832	NR_015513	319865	Mm.373807	NM_177023		E130114P18Rik	-	RIKEN cDNA E130114P18 gene	ncRNA
79	chr4	15042047	15042298	+	0	NA	intron (NM_178617, intron 5 of 12)	intron (NM_178617, intron 5 of 12)	106959	NM_178617	69352	Mm.389031	NM_178617	ENSMUSG00000040536	Necab1	1700003H21Rik|Efcbp1|STIP-1	N-terminal EF-hand calcium binding protein 1	protein-coding
13	chr1	125241674	125241993	+	0	NA	Intergenic	Lx7|LINE|L1	193894	NM_001205386	74117	Mm.183102	NM_023735	ENSMUSG00000026341	Actr3	1200003A09Rik|Arp3	ARP3 actin-related protein 3	protein-coding
297	chr17	29111466	29112008	+	0	NA	Intergenic	Intergenic	-2444	NM_001364848	442827	Mm.20023	NM_001002786	ENSMUSG00000064147	Rab44	9830134C10Rik	RAB44, member RAS oncogene family	protein-coding
173	chr8	45063028	45063486	+	0	NA	non-coding (NR_033588, exon 3 of 5)	non-coding (NR_033588, exon 3 of 5)	2161	NR_033588	434310	Mm.334512	NR_033588	ENSMUSG00000066158	AY512931	-	cDNA sequence AY512931	ncRNA
160	chr7	145269213	145269434	+	0	NA	intron (NR_132642, intron 8 of 23)	intron (NR_132642, intron 8 of 23)	14688	NM_146206	233979	Mm.102235	NM_146206	ENSMUSG00000048677	Tpcn2	D830047E22Rik|Gm35086	two pore segment channel 2	protein-coding
150	chr7	49824101	49824476	+	0	NA	intron (NM_133740, intron 11 of 15)	intron (NM_133740, intron 11 of 15)	45930	NM_133740	71974	Mm.33202	NM_133740	ENSMUSG00000030505	Prmt3	2010005E20Rik|2410018A17Rik|AL033309|Hrmt1l3	protein arginine N-methyltransferase 3	protein-coding
113	chr5	93288596	93288902	+	0	NA	Intergenic	Intergenic	21176	NM_007635	12452	Mm.3527	NM_007635	ENSMUSG00000029385	Ccng2	-	cyclin G2	protein-coding
224	chr12	73442768	73442961	+	0	NA	Intergenic	ORR1D1|LTR|ERVL-MaLR	-33301	NR_046013	380765	Mm.490476	NR_046013	ENSMUSG00000056359	D830013O20Rik	Gm891	RIKEN cDNA D830013O20 gene	ncRNA
129	chr6	43266429	43266910	+	0	NA	intron (NM_133674, intron 1 of 14)	intron (NM_133674, intron 1 of 14)	1025	NM_133674	54324	Mm.320978	NM_133674	ENSMUSG00000033542	Arhgef5	2210412D05Rik|AA717842|AW495314|Tim1	Rho guanine nucleotide exchange factor (GEF) 5	protein-coding
194	chr9	118876996	118877186	+	0	NA	intron (NM_001113514, intron 11 of 13)	intron (NM_001113514, intron 11 of 13)	-49445	NM_133710	69274	Mm.439928	NM_133710	ENSMUSG00000047409	Ctdspl	2810418J22Rik|AI426263|HYA22|SCP3	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like	protein-coding
45	chr2	125512821	125513182	+	0	NA	Intergenic	Intergenic	-6563	NM_007993	14118	Mm.271644	NM_007993	ENSMUSG00000027204	Fbn1	AI536462|B430209H23|Fib-1|Tsk	fibrillin 1	protein-coding
130	chr6	52813820	52814017	+	0	NA	intron (NM_173406, intron 2 of 4)	intron (NM_173406, intron 2 of 4)	95702	NM_001168277	231986	Mm.386865	NM_173406	ENSMUSG00000063568	Jazf1	AI591476|C820002C15|Jaz1|Tip27	JAZF zinc finger 1	protein-coding
126	chr6	37916092	37916474	+	0	NA	intron (NM_001272064, intron 4 of 18)	RLTR33|LTR|ERVK	15796	NM_001272076	21848	Mm.41063	NM_145076	ENSMUSG00000029833	Trim24	A130082H20Rik|AI447469|D430004I05Rik|TIF1|TIF1-alpha|TIF1alpha|Tif1a	tripartite motif-containing 24	protein-coding
315	chr18	11129629	11129842	+	0	NA	Intergenic	Intergenic	-77168	NR_105023	68434	Mm.57626	NR_105022	ENSMUSG00000097222	1010001N08Rik	Gata6as	RIKEN cDNA 1010001N08 gene	ncRNA
309	chr17	85908768	85908986	+	0	NA	Intergenic	Intergenic	-220623	NM_011380	20472	Mm.5039	NM_011380	ENSMUSG00000024134	Six2	-	sine oculis-related homeobox 2	protein-coding
108	chr5	35035947	35036175	+	0	NA	Intergenic	Intergenic	-5448	NM_019447	54426	Mm.27369	NM_019447	ENSMUSG00000029102	Hgfac	HGFA	hepatocyte growth factor activator	protein-coding
218	chr11	112414059	112414269	+	0	NA	Intergenic	Intergenic	297192	NR_024085	217294	Mm.297761	NM_146031	ENSMUSG00000041674	BC006965	-	cDNA sequence BC006965	ncRNA
68	chr3	97393318	97393548	+	0	NA	Intergenic	MTD|LTR|ERVL-MaLR	17746	NM_146275	258272	Mm.377406	NM_146275	ENSMUSG00000051392	Olfr1402	MOR217-1	olfactory receptor 1402	protein-coding
104	chr5	15529744	15530050	+	0	NA	promoter-TSS (NM_001310449)	promoter-TSS (NM_001310449)	-675	NM_001310449	100861755	Mm.382859	NM_001310449	ENSMUSG00000106445	Gm21190	-	predicted gene, 21190	protein-coding
216	chr11	59872243	59872552	+	0	NA	intron (NM_134029, intron 3 of 4)	intron (NM_134029, intron 3 of 4)	24324	NM_134029	103850	Mm.41761	NM_134029	ENSMUSG00000032615	Nt5m	2010013E09Rik|AI846937|dNT-2	5',3'-nucleotidase, mitochondrial	protein-coding
210	chr11	5851196	5851403	+	0	NA	Intergenic	RMER4B|LTR|ERVK	-10567	NM_001291857	11568	Mm.3317	NM_009636	ENSMUSG00000020473	Aebp1	ACLP	AE binding protein 1	protein-coding
116	chr5	105345545	105346598	+	0	NA	intron (NM_001039647, intron 1 of 10)	intron (NM_001039647, intron 1 of 10)	401	NM_001039647	634650	Mm.458435	NM_001039647	ENSMUSG00000092021	Gbp11	EG634650|Gm7141	guanylate binding protein 11	protein-coding
80	chr4	40171558	40171747	+	0	NA	intron (NM_007386, intron 4 of 20)	intron (NM_007386, intron 4 of 20)	28387	NM_007386	11428	Mm.331547	NM_007386	ENSMUSG00000028405	Aco1	Aco-1|Irebp|Irp1	aconitase 1	protein-coding
147	chr7	19871151	19871592	+	0	NA	Intergenic	Intergenic	-10072	NM_001033419	330483	Mm.260192	NM_001033419	ENSMUSG00000014686	Ceacam16	Gm769	carcinoembryonic antigen-related cell adhesion molecule 16	protein-coding
18	chr1	155844434	155844615	+	0	NA	TTS (NM_001039184)	TTS (NM_001039184)	-31625	NM_023268	104009	Mm.27035	NM_023268	ENSMUSG00000033684	Qsox1	1300003H02Rik|QSOX|Qscn6|SOx|b2b2673Clo	quiescin Q6 sulfhydryl oxidase 1	protein-coding
139	chr6	103444278	103444442	+	0	NA	Intergenic	L1_Mus3|LINE|L1	-66516	NM_007697	12661	Mm.251288	NM_007697	ENSMUSG00000030077	Chl1	A530023M13Rik|AI465420|CALL|LICAM2	cell adhesion molecule L1-like	protein-coding
73	chr3	138060426	138060702	+	0	NA	intron (NR_037975, intron 1 of 3)	intron (NR_037975, intron 1 of 3)	-1678	NM_001370862	102634333	Mm.45669	NM_001370862	ENSMUSG00000090066	1110002E22Rik	100039528|AI415341|Gm2292	RIKEN cDNA 1110002E22 gene	protein-coding
124	chr6	12358755	12359038	+	0	NA	intron (NM_001164805, intron 13 of 26)	intron (NM_001164805, intron 13 of 26)	-249316	NR_003631	625347	Mm.389084	NM_001039041	ENSMUSG00000057223	Gm6578	EG625347	mitochondrial ribosomal protein L32 pseudogene	pseudo
50	chr2	145786180	145786530	+	0	NA	5' UTR (NM_028724, exon 2 of 13)	5' UTR (NM_028724, exon 2 of 13)	239	NM_028724	74030	Mm.228799	NM_028724	ENSMUSG00000001768	Rin2	2010003K16Rik|4632403N06Rik|AW821980|RASSF4	Ras and Rab interactor 2	protein-coding
288	chr16	93223607	93224130	+	0	NA	Intergenic	Intergenic	129321	NR_040486	69857	Mm.81192	NR_040486	ENSMUSG00000100277	1810053B23Rik	1810008L18Rik|1810056K14Rik	RIKEN cDNA 1810053B23 gene	ncRNA
